sentence,argument_head,predicate_head,role,label
"One of the most widespread myths of recent times is that the Chernobyl nuclear reactor accident in 1986 caused many thousands of extra cancer deaths in neighbouring regions , and that public health has been severely affected by exposure to radiation .",32,36,AGENT,0
The prestigious IAEA ( International Atomic Energy Agency ) published an early report on Chernobyl which was based on information from Russian sources and stated that there was no significant health effects .,2,9,AGENT,1
The prestigious IAEA ( International Atomic Energy Agency ) published an early report on Chernobyl which was based on information from Russian sources and stated that there was no significant health effects .,12,9,AGENT,0
The prestigious IAEA ( International Atomic Energy Agency ) published an early report on Chernobyl which was based on information from Russian sources and stated that there was no significant health effects .,12,17,AGENT,0
"The dramatic increase in radiation - induced thyroid cancers in children and adolescents in Belarus , Russia , and Ukraine , which have been observed since 1991 , continues to this day .",2,24,AGENT,0
"The dramatic increase in radiation - induced thyroid cancers in children and adolescents in Belarus , Russia , and Ukraine , which have been observed since 1991 , continues to this day .",2,28,AGENT,0
"The dramatic increase in radiation - induced thyroid cancers in children and adolescents in Belarus , Russia , and Ukraine , which have been observed since 1991 , continues to this day .",31,28,AGENT,0
"The dynamics of change in the state of health of children affected by the Chernobyl accident in all three countries - Belarus , Russia , and Ukraine - in the post-accident period is characterized by persistent negative tendencies : the morbidity rate is going up , the number of really healthy children is dropping , and disability is increasing .",1,33,AGENT,0
"The dynamics of change in the state of health of children affected by the Chernobyl accident in all three countries - Belarus , Russia , and Ukraine - in the post-accident period is characterized by persistent negative tendencies : the morbidity rate is going up , the number of really healthy children is dropping , and disability is increasing .",37,33,AGENT,0
"The dynamics of change in the state of health of children affected by the Chernobyl accident in all three countries - Belarus , Russia , and Ukraine - in the post-accident period is characterized by persistent negative tendencies : the morbidity rate is going up , the number of really healthy children is dropping , and disability is increasing .",47,53,AGENT,0
"The dynamics of change in the state of health of children affected by the Chernobyl accident in all three countries - Belarus , Russia , and Ukraine - in the post-accident period is characterized by persistent negative tendencies : the morbidity rate is going up , the number of really healthy children is dropping , and disability is increasing .",56,58,AGENT,1
There is a lot to learn about Chernobyl .,3,1,AGENT,1
There are a wealth of references on Chernobyl .,3,1,AGENT,0
These links present the many viewpoints that existed and still exist about the disaster called Chernobyl :,1,2,AGENT,0
These links present the many viewpoints that existed and still exist about the disaster called Chernobyl :,5,2,AGENT,1
These links present the many viewpoints that existed and still exist about the disaster called Chernobyl :,5,7,AGENT,0
As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....,2,7,AGENT,0
As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....,6,7,AGENT,1
As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....,9,7,AGENT,0
As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....,14,15,AGENT,1
As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....,16,15,AGENT,1
As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....,30,34,AGENT,0
As a child in the 50's I had a lot of glandular problems and they treated it with radiation therapy ( primitive at best ! ) and stopped when a lesion on my neck started enlarging -- they said it was not CA but stopped the treatments ....,46,44,AGENT,0
The Chernobyl Children 's Project ( http://www.adiccp.org/home/default.asp ) offers several ways to help the children of that region .,4,8,AGENT,1
The Chernobyl Children 's Project ( http://www.adiccp.org/home/default.asp ) offers several ways to help the children of that region .,10,8,AGENT,1
S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .,0,3,AGENT,1
S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .,5,3,AGENT,1
S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .,5,8,AGENT,0
S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .,9,8,AGENT,0
S. and I have an acquaintance who has hosted several of these children for many years ; to see these little ones breaks the heart .,24,22,AGENT,0
"These are 1 ) Assassinate or overthrow Gen. Pervez Musharraf , the Pakistani military "" president "" who had made a coup in 1999 and has thrown in his lot with the United States against the Taliban and al - Qaeda .",0,1,AGENT,0
"These are 1 ) Assassinate or overthrow Gen. Pervez Musharraf , the Pakistani military "" president "" who had made a coup in 1999 and has thrown in his lot with the United States against the Taliban and al - Qaeda .",9,4,AGENT,1
"These are 1 ) Assassinate or overthrow Gen. Pervez Musharraf , the Pakistani military "" president "" who had made a coup in 1999 and has thrown in his lot with the United States against the Taliban and al - Qaeda .",29,26,AGENT,0
"Musharraf held elections in October of 2002 , in which center - right parties did well , but in which nearly 20 percent of parliament seats went to the fundamentalist religious party coalition , MMA .",0,1,AGENT,1
"Musharraf held elections in October of 2002 , in which center - right parties did well , but in which nearly 20 percent of parliament seats went to the fundamentalist religious party coalition , MMA .",2,1,AGENT,0
"Musharraf held elections in October of 2002 , in which center - right parties did well , but in which nearly 20 percent of parliament seats went to the fundamentalist religious party coalition , MMA .",4,1,AGENT,0
Al - Zawahiri attempted to use Musharraf 's lack of progress in helping the Muslims of that Indian state as a justification for his overthrow .,2,3,AGENT,1
"The Kashmir issue generates far more terrorism , and even the threat of nuclear war , than Iraq ever did .",2,3,AGENT,0
"The Kashmir issue generates far more terrorism , and even the threat of nuclear war , than Iraq ever did .",6,3,AGENT,0
"Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace .",0,1,AGENT,1
"Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace .",4,1,AGENT,1
"Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace .",8,1,AGENT,0
"Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace .",12,1,AGENT,0
"Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace .",18,15,AGENT,0
"Israel owes the United States at least this much , in this crisis , to cease militarily unnecessary provocations and establish genuine peace .",22,20,AGENT,0
The Americans have to put away their free - market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households .,1,2,AGENT,1
The Americans have to put away their free - market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households .,19,18,AGENT,0
The Americans have to put away their free - market fetishism for a while and find ways of creating jobs and pumping money into Iraqi households .,22,21,AGENT,0
"We need an FDR in Iraq , not a Ronald Reagan .",0,1,AGENT,1
"We need an FDR in Iraq , not a Ronald Reagan .",3,1,AGENT,0
"We need an FDR in Iraq , not a Ronald Reagan .",5,1,AGENT,0
"We need an FDR in Iraq , not a Ronald Reagan .",10,1,AGENT,0
"The thing to keep in mind is that Sunni Arab nationalists and Baathists and local Sunni radicals are likely to remain far more dangerous to the US in Iraq than al - Qaeda infiltrators , and it would be dangerous to take one 's eyes off the former ball .",1,6,AGENT,0
George W. Bush alleged Thursday that John Edwards lacks the experience necessary to be president .,2,3,AGENT,1
George W. Bush alleged Thursday that John Edwards lacks the experience necessary to be president .,7,8,AGENT,1
George W. Bush alleged Thursday that John Edwards lacks the experience necessary to be president .,10,8,AGENT,1
"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .",1,5,AGENT,0
"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .",7,8,AGENT,1
"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .",10,8,AGENT,0
"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .",16,17,AGENT,1
"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .",23,28,AGENT,1
"The problem with this argument is that Bush lacked the experience necessary to be president when he ran in 2000 , so this sort of cheap shot just hoists him by his own petard .",29,28,AGENT,1
' Bush fails reporter 's pop quiz on international leaders,1,2,AGENT,1
' Bush fails reporter 's pop quiz on international leaders,6,2,AGENT,1
"The front - runner for the 2000 Republican presidential nomination faltered Thursday in an international affairs pop quiz posed by Andy Hiller , a political reporter for WHDH - TV in Boston .",3,10,AGENT,1
"The front - runner for the 2000 Republican presidential nomination faltered Thursday in an international affairs pop quiz posed by Andy Hiller , a political reporter for WHDH - TV in Boston .",17,10,AGENT,0
"Hiller asked Bush to name the leaders of Chechnya , Taiwan , India and Pakistan .",0,1,AGENT,1
"Hiller asked Bush to name the leaders of Chechnya , Taiwan , India and Pakistan .",2,1,AGENT,1
"Hiller asked Bush to name the leaders of Chechnya , Taiwan , India and Pakistan .",6,4,AGENT,0
"Hiller asked , inquiring about Gen. Pervaiz Musharraf , who seized control of the country October 12 .",0,1,AGENT,1
"Hiller asked , inquiring about Gen. Pervaiz Musharraf , who seized control of the country October 12 .",7,10,AGENT,1
"Hiller asked , inquiring about Gen. Pervaiz Musharraf , who seized control of the country October 12 .",11,10,AGENT,0
""" Wait , wait , is this 50 questions ? "" asked Bush .",12,11,AGENT,1
"Hiller replied : "" No , it 's four questions of four leaders in four hot spots . "" . . .",0,1,AGENT,1
Gore released a statement Friday taking Bush to task for his comments on Pakistan 's recent coup .,0,1,AGENT,1
Gore released a statement Friday taking Bush to task for his comments on Pakistan 's recent coup .,3,1,AGENT,0
""" I find it troubling that a candidate for president in our country -- the world 's oldest democracy -- would characterize the military takeover as "" good news , "" Gore said .",7,21,AGENT,1
""" I find it troubling that a candidate for president in our country -- the world 's oldest democracy -- would characterize the military takeover as "" good news , "" Gore said .",24,21,AGENT,1
""" I find it troubling that a candidate for president in our country -- the world 's oldest democracy -- would characterize the military takeover as "" good news , "" Gore said .",31,32,AGENT,1
""" It is very dangerous for this country to condone the overthrow of democratically elected governments , "" said David Leavy , spokesman for the National Security Council .",7,9,AGENT,1
""" It is very dangerous for this country to condone the overthrow of democratically elected governments , "" said David Leavy , spokesman for the National Security Council .",11,9,AGENT,1
""" It is very dangerous for this country to condone the overthrow of democratically elected governments , "" said David Leavy , spokesman for the National Security Council .",20,18,AGENT,1
"Not only did Bush not know who General Pervez Musharraf was , he seems to have confused coup - making with "" taking office , "" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military , then the world 's strongest supporter of the Taliban , would bring "" stability ! """,12,13,AGENT,1
"Not only did Bush not know who General Pervez Musharraf was , he seems to have confused coup - making with "" taking office , "" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military , then the world 's strongest supporter of the Taliban , would bring "" stability ! """,19,16,AGENT,0
"Not only did Bush not know who General Pervez Musharraf was , he seems to have confused coup - making with "" taking office , "" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military , then the world 's strongest supporter of the Taliban , would bring "" stability ! """,34,61,AGENT,0
"Not only did Bush not know who General Pervez Musharraf was , he seems to have confused coup - making with "" taking office , "" and moreover went on to suggest that the overthrow of an elected prime minister and the installation in power of the Pakistan military , then the world 's strongest supporter of the Taliban , would bring "" stability ! """,63,61,AGENT,0
Another answer is that Edwards certainly knows far more about foreign affairs now than Bush did then .,1,2,AGENT,0
"This is what Edwards ' campaign literature said about his positions : "" Edwards believes that the U.S. must be an active leader to help resolve conflicts , from reducing tensions between India and Pakistan to the peace process in Northern Ireland .",0,1,AGENT,1
"This is what Edwards ' campaign literature said about his positions : "" Edwards believes that the U.S. must be an active leader to help resolve conflicts , from reducing tensions between India and Pakistan to the peace process in Northern Ireland .",13,14,AGENT,1
"This is what Edwards ' campaign literature said about his positions : "" Edwards believes that the U.S. must be an active leader to help resolve conflicts , from reducing tensions between India and Pakistan to the peace process in Northern Ireland .",26,25,AGENT,0
"This is what Edwards ' campaign literature said about his positions : "" Edwards believes that the U.S. must be an active leader to help resolve conflicts , from reducing tensions between India and Pakistan to the peace process in Northern Ireland .",30,29,AGENT,0
"It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .",0,2,AGENT,1
"It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .",11,13,AGENT,1
"It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .",14,13,AGENT,1
"It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .",20,19,AGENT,1
"It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .",29,35,AGENT,0
"It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .",34,35,AGENT,1
"By the late 1990s , Iraq had no nuclear or biological weapons program , and had destroyed its chemical weapons stockpiles .",3,6,AGENT,0
"By the late 1990s , Iraq had no nuclear or biological weapons program , and had destroyed its chemical weapons stockpiles .",5,6,AGENT,1
"By the late 1990s , Iraq had no nuclear or biological weapons program , and had destroyed its chemical weapons stockpiles .",12,6,AGENT,0
"By the late 1990s , Iraq had no nuclear or biological weapons program , and had destroyed its chemical weapons stockpiles .",20,16,AGENT,0
The bungling of post-war Iraq by the Bush administration created a weak and failed state .,1,9,AGENT,0
The bungling of post-war Iraq by the Bush administration created a weak and failed state .,14,9,AGENT,0
"The US chose to ally itself with such groups as the Supreme Council for the Islamic Revolution in Iraq , whose 15,000 - strong Badr Corps paramilitary was trained by the Iranian Revolutionary Guards .",1,2,AGENT,1
"The US chose to ally itself with such groups as the Supreme Council for the Islamic Revolution in Iraq , whose 15,000 - strong Badr Corps paramilitary was trained by the Iranian Revolutionary Guards .",5,4,AGENT,1
"The US chose to ally itself with such groups as the Supreme Council for the Islamic Revolution in Iraq , whose 15,000 - strong Badr Corps paramilitary was trained by the Iranian Revolutionary Guards .",26,28,AGENT,1
THE DAILY STAR publishes this commentary in agreement with Agence Global,2,3,AGENT,1
THE DAILY STAR publishes this commentary in agreement with Agence Global,5,3,AGENT,1
THE DAILY STAR publishes this commentary in agreement with Agence Global,7,3,AGENT,0
Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process,0,1,AGENT,1
Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process,6,13,AGENT,1
Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process,15,13,AGENT,1
Tamils feel that the proposed defense agreement between India and Sri Lanka would encourage Sinhala rulers to prepare for another war abandoning the current peace process,25,21,AGENT,0
But there are strong hints in the country that a new Indo - Sri Lanka defense deal could be in the making .,4,2,AGENT,0
But there are strong hints in the country that a new Indo - Sri Lanka defense deal could be in the making .,7,2,AGENT,0
And that explains the delay in the signing of a formal defense agreement that was at the heart of Sri Lankan President Chandrika Kumaratunga 's four - day visit to India recently .,1,2,AGENT,1
And that explains the delay in the signing of a formal defense agreement that was at the heart of Sri Lankan President Chandrika Kumaratunga 's four - day visit to India recently .,4,2,AGENT,1
"According to Professor S D Muni , South Asia expert at the Jawaharal Nehru University , the two - year peace talks between Colombo and the Liberation Tigers of Tamil Eelam ( LTTE ) are stalemated .",5,35,AGENT,0
"According to Professor S D Muni , South Asia expert at the Jawaharal Nehru University , the two - year peace talks between Colombo and the Liberation Tigers of Tamil Eelam ( LTTE ) are stalemated .",21,35,AGENT,0
"For that reason , he said , Kumaratunga 's government was keen to beef up military preparedness with Indian support .",4,5,AGENT,1
"For that reason , he said , Kumaratunga 's government was keen to beef up military preparedness with Indian support .",16,13,AGENT,0
"And the Tigers look as if they are on the brink of launching another offensive , "" Muni told IPS .",14,12,AGENT,0
"And the Tigers look as if they are on the brink of launching another offensive , "" Muni told IPS .",17,18,AGENT,1
"And the Tigers look as if they are on the brink of launching another offensive , "" Muni told IPS .",19,18,AGENT,0
Colombo held six rounds of talks with the Tigers between September 2002 and March 2003 .,0,1,AGENT,1
Colombo held six rounds of talks with the Tigers between September 2002 and March 2003 .,3,1,AGENT,0
Colombo held six rounds of talks with the Tigers between September 2002 and March 2003 .,10,1,AGENT,0
Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .,3,4,AGENT,0
Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .,9,4,AGENT,0
Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .,22,4,AGENT,0
Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .,27,24,AGENT,0
Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .,27,30,AGENT,1
Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .,34,32,AGENT,0
Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .,34,38,AGENT,0
Kumaratunga 's India tour preceded a three - day visit to Sri Lanka by Norwegian Foreign Minister Jan Petersen in a new bid to revive the peace talks that were supposed to follow a ceasefire that Oslo successfully brokered in February 2002 .,36,38,AGENT,1
"Petersen held discussions with both Kumaratunga and the reclusive LTTE leader Velupillai Prabhakaran in the rebel stronghold of Kilinochchi without success , and chief Tamil rebel negotiator Anton Balasingham and Norwegian envoy Erik Solheim held closed - door talks at the international airport late Saturday in an effort to keep the salvage effort on track , diplomatic sources said .",0,1,AGENT,1
"Petersen held discussions with both Kumaratunga and the reclusive LTTE leader Velupillai Prabhakaran in the rebel stronghold of Kilinochchi without success , and chief Tamil rebel negotiator Anton Balasingham and Norwegian envoy Erik Solheim held closed - door talks at the international airport late Saturday in an effort to keep the salvage effort on track , diplomatic sources said .",2,1,AGENT,1
